,phrase,label,sentiment,subjectivity,language,count
Schneebretter,Schneebretter,ORG,0.2333333333333333,0.0,de,3
RTL+,RTL+,ORG,0.2333333333333333,0.0,de,3
LNG-Liefervertrag,LNG-Liefervertrag,ORG,0.0,0.0,de,3
wissenschaft.de,wissenschaft.de,ORG,0.0,0.0,de,3
ProSieben on Ice,ProSieben on Ice,ORG,0.0,0.0,de,3
n-tv,n-tv,ORG,0.0,0.0,de,3
Platsch!,Platsch!,ORG,0.0,0.0,de,3
Kohlenstoffdioxid,Kohlenstoffdioxid,ORG,0.6999999999999998,0.0,de,3
Ahoi Piraten!,Ahoi Piraten!,ORG,0.0,0.0,de,3
Deutschen Wetterdienstes für 2022,Deutschen Wetterdienstes für 2022,ORG,0.0,0.0,de,3
Masked Singer“-Finale,Masked Singer“-Finale,ORG,0.2333333333333333,0.0,de,3
Bund für Umwelt und Naturschutz,Bund für Umwelt und Naturschutz,ORG,0.0,0.0,de,3
River Plate,River Plate,ORG,-0.4666666666666666,0.0,de,3
ÖBB,ÖBB,ORG,0.0,0.0,de,3
fr.de,fr.de,ORG,0.2333333333333333,0.0,de,3
Auto &,Auto &,ORG,0.0,0.6666666666666666,de,3
Groko,Groko,ORG,-0.3333333333333333,0.0,de,3
NABU,NABU,ORG,0.5666666666666667,0.3333333333333333,de,3
Evangelische Kirche,Evangelische Kirche,ORG,0.0,0.0,de,3
Shopping-Deal,Shopping-Deal,ORG,0.4666666666666666,0.0,de,3
Haefelinger Design,Haefelinger Design,ORG,0.0,0.0,de,3
TexasText,TexasText,ORG,0.2333333333333333,0.0,de,3
Formel 1,Formel 1,ORG,0.4666666666666666,0.0,de,3
R,R,ORG,0.0,0.0,de,3
Sozialdemokraten,Sozialdemokraten,ORG,0.0,0.0,de,3
DLF Kultur,DLF Kultur,ORG,0.2333333333333333,0.0,de,3
Pixabay,Pixabay,ORG,0.11666666666666665,0.0,de,3
DLF,DLF,ORG,0.2333333333333333,0.0,de,3
Stiftung Warentest,Stiftung Warentest,ORG,0.3333333333333333,0.0,de,3
"Zeit, Welt","Zeit, Welt",ORG,0.2333333333333333,0.0,de,3
