,summary,Herbst,Winter,Sommer,Frühling,word
schnell aufs,2.92333840320587,-0.37064616345074103,0.33117845895186254,-0.34582966894959966,-0.3651333138217176,schnell aufs
aufs glattei,3.398202629364027,-0.5211665648795304,0.4179059530420384,-0.49635007037838896,-0.5156537152505073,aufs glattei
souverän,2.4501327827640353,-0.1940621315928879,0.19739826718692663,-0.16924563709174661,-0.18854928196386467,souverän
lass souverän,2.4501327827640353,-0.1940621315928879,0.19739826718692663,-0.16924563709174661,-0.18854928196386467,lass souverän
beantworten,2.389584303223815,-0.16903933056834355,0.17473683876051954,-0.1442228360672021,-0.16352648093932023,beantworten
souverän beantwort,2.389584303223815,-0.16903933056834355,0.17473683876051954,-0.1442228360672021,-0.16352648093932023,souverän beantwort
Manager-Trainer,2.3295147618833862,-0.14357990064507584,0.15052997536344612,-0.11876340614393431,-0.1380670510160525,Manager-Trainer
manager-trainer jürn-f.,2.2792540797255683,-0.12176814288170357,0.12880201911957992,-0.09695164838056222,-0.11625529325268026,manager-trainer jürn-f.
KonitzerSo,2.2599724329165185,-0.11327252684356519,0.12007799864028429,-0.08845603234242402,-0.10775967721454204,KonitzerSo
jürn-f. konitzerso,2.2599724329165185,-0.11327252684356519,0.12007799864028429,-0.08845603234242402,-0.10775967721454204,jürn-f. konitzerso
konitzerso frage,2.2255374504410863,-0.09791834866786885,0.10392216025386967,-0.07310185416672746,-0.09240549903884542,konitzerso frage
vorstellungsgespräch erschein,2.1851470288515653,-0.0796030278342405,0.08396634101553932,-0.054786533333099054,-0.07409017820521725,vorstellungsgespräch erschein
erschein erst,2.167107685891735,-0.07131332631349478,0.0746783419177186,-0.04649683181235348,-0.06580047668447159,erschein erst
erst blick,2.1609620571413073,-0.06847343081934397,0.07145861762465461,-0.04365693631820256,-0.06296058119032062,erst blick
harmlos,2.156018356751521,-0.06618307873204761,0.06884766661499343,-0.041366584230906264,-0.060670229103024324,harmlos
blick harmlos,2.156018356751521,-0.06618307873204761,0.06884766661499343,-0.041366584230906264,-0.060670229103024324,blick harmlos
harmlos sag,2.134916466241795,-0.05634743149140149,0.05748799779654698,-0.031530936990260106,-0.05083458186237815,harmlos sag
Bewerbungsexperte,2.129534802284196,-0.053823464642832664,0.05453380397221323,-0.029006970141691357,-0.048310615013809344,Bewerbungsexperte
sag bewerbungsexperte,2.129534802284196,-0.053823464642832664,0.05453380397221323,-0.029006970141691357,-0.048310615013809344,sag bewerbungsexperte
düsseldorf wer,2.1134756320536296,-0.046253722751841905,0.045575731425611304,-0.02143722825070053,-0.04074087312281861,düsseldorf wer
Bewerbungsgespräch,2.11029149385013,-0.04474599814876777,0.043773694864863474,-0.01992950364762635,-0.03923314851974435,Bewerbungsgespräch
wer bewerbungsgespräch,2.11029149385013,-0.04474599814876777,0.043773694864863474,-0.01992950364762635,-0.03923314851974435,wer bewerbungsgespräch
bewerbungsgespräch +1325,2.101136064025061,-0.04039809277828971,0.03854347322012931,-0.015581598277148334,-0.034885243149266366,bewerbungsgespräch +1325
Laars,3.21817259614587,0.9856893904564559,-0.6291912651416266,-0.44191709869003454,-0.46122074356215254,Laars
Mein,2.416644056888953,0.6470954506531567,-0.3427574077933847,-0.15548324134179262,-0.17478688621391053,Mein
laar mein,2.416644056888953,0.6470954506531567,-0.3427574077933847,-0.15548324134179262,-0.17478688621391053,laar mein
